ins_id,nome,descricao
MTMARF,MARFRIG,SUB MARFRIG MT
PEUNIG,UNILEVER GELA,SUB UNILEVER GELADOS DO NORDESTE PE
RSAUT,PCH AUTODROMO,SUB PCH AUTODROMO RS
RSSPA,PCH SAO PAULO,SUB PCH SAO PAULO RS
MTEMBA,UHE EMBAUBA,USI UHE EMBAUBA MT
MTESPE,UHE ESPERANCA,USI UHE ESPERANCA MT
MTFAZE,UHE FAZ GALERA,USI UHE FAZ GALERA MT
MTFIGU,UHE FIGUEIROPOL,USI UHE FIGUEIROPOL MT
MTGALH,UHE GALHEIROS,USI UHE GALHEIROS MT
MTGLIC,UHE GLIC ROCHA,USI UHE GLIC ROCHA MT
MTGLOR,UHE GLORIA,USI UHE GLORIA MT
MTINXU,UHE INXU,USI UHE INXU MT
MTJUIN,UHE JUINA,USI UHE JUINA MT
MTMARA,UHE MARACANA,USI UHE MARACANA MT
MTMARG,UHE MARGARIDA 2,USI UHE MARGARIDA 2 MT
MTMASU,UHE MASUTTI,USI UHE MASUTTI MT
MTMAX0,UHE MAX-01,USI UHE MAX-01 MT
MTMESR,UHE MESTRE,USI UHE MESTRE MT
MTNOVM,UHE NOVA MUTUM,USI UHE NOVA MUTUM MT
MTNOVO,UHE NOVO COLORA,USI UHE NOVO COLORA MT
MTPEQU,UHE PEQUI,USI UHE PEQUI MT
MTREC,UHE RECANTO,USI UHE RECANTO MT
MTRIOA,UHE RIO ALEGRE,USI UHE RIO ALEGRE MT
MTRIOD,UHE RIO DO SAPO,USI UHE RIO DO SAPO MT
MTRIOP,UHE RIO PRATA,USI UHE RIO PRATA MT
MTSALT,UHE SALTO,USI UHE SALTO MT
MTSALO,UHE SALTO BELO,USI UHE SALTO BELO MT
MTSANT,UHE SNT CECILIA,USI UHE SNT CECILIA MT
MTSANN,UHE SANTANA I,USI UHE SANTANA I MT
MTSAPE,UHE SAPEZAL,USI UHE SAPEZAL MT
MTSENA,UHE SEN JON PIN,USI UHE SEN JON PIN MT
MTSETE,UHE SETE QUEDAS,USI UHE SETE QUEDAS MT
MTSUCU,UHE SUCUPIRA,USI UHE SUCUPIRA MT
MTCARM,UTE CARAM SORR,USI UTE CARAM SORR MT
MTCONS,UTE CONSELVAN,USI UTE CONSELVAN MT
MTCOPR,UTE COPRODIA,USI UTE COPRODIA MT
MTEGD,UTE EGIDIO,USI UTE EGIDIO MT
MTGUAC,UTE GUACU,USI UTE GUACU MT
MTINP,UTE INPASA,USI UTE INPASA MT
MTMART,UTE MARTINS,USI UTE MARTINS MT
MSSONO,UTE SONORA,USI UTE SONORA MS
SPTANQ,UFV TANQUINHO,USI UFV TANQUINHO SP
