eqp_id,age_id,descricao,instalacao_de,instalacao_para
APUTOL0SI--1,CEA,LT 13P8 kV SANTA RITA / SE SANTA RITA C 1 AP,APUTOL,APSI
APUTOL0SI--2,CEA,LT 13P8 kV SANTA RITA / SE SANTA RITA C 2 AP,APUTOL,APSI
APUTSE0ST--1,CEA,LT 13P8 kV SANTANA II / SE SANTANA C 1 AP,APUTSE,APST
APUTSN0ST--1,ENT,LT 69 kV SANTANA / SE SANTANA C 1 AP,APUTSN,APST
BAABD-0ECED1,EEL,LT 34P5 kV ABIL II / ABD_CEDRO C 28 BA,BAABD,BAECED
BAABD-0EPDA1,EEL,LT 34P5 kV ABIL II / ABD_PAU D'AGUA C 22 BA,BAABD,BAEPDA
BAABD-0EPDA1-------1,EEL,LT 34P5 kV ABIL II / ABD_PAU D'AGUA C 23 BA,BAABD,BAEPDA
BAABD-0EVLZ1,EEL,LT 34P5 kV ABIL II / ABD_VELLOZIA C 24 BA,BAABD,BAEVLZ
BAABD-0EVLZ1-------1,EEL,LT 34P5 kV ABIL II / ABD_VELLOZIA C 25 BA,BAABD,BAEVLZ
BAABD-2QUN-1,EEL,LT 230 kV ABIL II / QUINA C Z4 BA,BAABD,BAQUN
BAABD-2UMB-Z4,EEL,LT 230 kV ABIL II / UMBUZEIRO C Z4 BA,BAABD,BAUMB
BAABL-2PND-1,EEL,LT 230 kV ABIL-I / PINDAI II C P1 BA,BAABL,BAPND
BAABX-0MLU-1,CBA,LT 69 kV ABAIXADORA / MULUNGU C M2 BA,BAABX,BAMLU
BAABX-0MXT-1,CHF,LT 69 kV ABAIXADORA / MOXOTO C 1 BA,BAABX,BAMXT
BAABX-0ZBU-F5AL,CHF,LT 69 kV ABAIXADORA / ZEBU  C F5 BA/AL,BAABX,BAZBU
BAABX-0ZEBU1AL,CHF,LT 69 kV ABAIXADORA / ZEBU 138_69 C V2 BA/AL,BAABX,ALZEBU
BAACA10TQN-J1,200,LT 34P5 kV TQN_A CAETITE 1 / TANQUE NOVO C J4 BA,BAACA1,BATQN
BAACA10TQN-J2,200,LT 34P5 kV TQN_A CAETITE 1 / TANQUE NOVO C J5 BA,BAACA1,BATQN
BAACA20TQN-J5,200,LT 34P5 kV TQN_A CAETITE 2 / TANQUE NOVO C J1 BA,BAACA2,BATQN
BAACA20TQN-J6,200,LT 34P5 kV TQN_A CAETITE 2 / TANQUE NOVO C J2 BA,BAACA2,BATQN
BAACA30TQN-J3,200,LT 34P5 kV TQN_A CAETITE 3 / TANQUE NOVO C C1 BA,BAACA3,BATQN
BAACA30TQN-J4,200,LT 34P5 kV TQN_A CAETITE 3 / TANQUE NOVO C C2 BA,BAACA3,BATQN
BAACA40TQN-C4,200,LT 34P5 kV TQN_A CAETITE 4 / TANQUE NOVO C C4 BA,BAACA4,BATQN
BAALC-2BOT-Z1,,LT 230 kV ALCA�UZ / BOTUQUARA C Z1 BA,BAALC1,BABOT
BAALC-2TBD-Z2,,LT 230 kV ALCA�UZ / TAMBORIL II C Z2 BA,BAALC1,BATBD
BAALD-2CTU-1,,LT 230 kV ALAGOINHAS II / CATU  C 1 BA,BAALG,BACTU
BAALG-2CTU-1,CHF,LT 230 kV ALAGOINHAS II / CATU  C L3 BA,BAALG,BACTU
BAALV-0IGD-5,BRN,LT 69 kV ALVORADA / IGAPORA II C P5 BA,BAALV,BAIGD
BAANT40BBC-11,CVR,LT 34P5 kV BBC_V S ANT 4 / BABIL. CENTRO C 11 BA,BAANT4,BABBC
BAANT40BBC-12,CVR,LT 34P5 kV BBC_V S ANT 4 / BABIL. CENTRO C 12 BA,BAANT4,BABBC
BAANT40BBC-13,CVR,LT 34P5 kV BBC_V S ANT 4 / BABIL. CENTRO C 13 BA,BAANT4,BABBC
